"category_number","subcategory_letter","category_name","style_name","og_min","og_max","fg_min","fg_max","ibu_min","ibu_max","srm_min","srm_max","abv_min","abv_max","description","extraction_status","source_markdown"
"1","A","Standard American Beer","American Light Lager","1.028","1.040","0.998","1.008","8","12","2","3","2.8","4.2","** A highly carbonated, very light-bodied, nearly flavorless lager designed to be consumed very cold. Very refreshing and thirst-quenching. **","parsed","BJCP_2021_GUIDELINES.md"
"1","C","Standard American Beer","Cream Ale","1.042","1.055","1.006","1.012","8","20","2","5","4.2","5.6","** A clean, well-attenuated, highly carbonated, flavorful American â€œlawnmowerâ€ beer. Easily drinkable, smooth, and refreshing, with more character than typical American lagers, yet still subtle and restrained. **","parsed","BJCP_2021_GUIDELINES.md"
"1","D","Standard American Beer","American Wheat Beer","1.040","1.055","1.008","1.013","15","30","3","6","4.0","5.5","** A pale, refreshing grainy, doughy, or bready wheat beer with a clean fermentation profile and a variable hop character and bitterness. Its lighter body and higher carbonation contribute to its easy-drinking nature. **","parsed","BJCP_2021_GUIDELINES.md"
"2","A","International Lager","International Pale Lager","1.042","1.050","1.008","1.012","18","25","2","6","4.5","6.0","** A highly-attenuated pale lager without strong flavors, typically well-balanced and highly carbonated. Served cold, it is refreshing and thirst-quenching. **","parsed","BJCP_2021_GUIDELINES.md"
"2","C","International Lager","International Dark Lager","1.044","1.056","1.008","1.012","8","20","14","30","4.2","6.0","** A darker, richer, and somewhat sweeter version of international pale lager with a little more body and flavor, but equally restrained in bitterness. The low bitterness leaves the malt as the primary flavor element, and the low hop levels provide very little in the way of balance. **","parsed","BJCP_2021_GUIDELINES.md"
"3","A","Czech Lager","Czech Pale Lager","1.028","1.044","1.008","1.014","20","35","3","6","3.0","4.1","** A lighter-bodied, rich, refreshing, hoppy, bitter pale Czech lager having the familiar flavors of the stronger Czech Premium Pale Lager (Pilsner-type) beer but in a lower alcohol, lighter-bodied, and slightly less intense format. **","parsed","BJCP_2021_GUIDELINES.md"
"3","B","Czech Lager","Czech Premium Pale Lager","1.044","1.060","1.013","1.017","30","45","3.5","6","4.2","5.8","** A refreshing pale Czech lager with considerable malt and hop character and a long finish. The malt flavors are complex for a Pilsner-type beer. The bitterness is strong and clean but lacks harshness, which gives a well-balanced, rounded flavor impression that enhances drinkability. **","parsed","BJCP_2021_GUIDELINES.md"
"3","C","Czech Lager","Czech Amber Lager","1.044","1.060","1.013","1.017","20","35","10","16","4.4","5.8","** A malty amber Czech lager with a hop character that can vary from low to quite significant. The malt flavors also can vary, leading to different interpretations and balances ranging from drier, bready, and slightly biscuity to sweeter and somewhat caramel-like. **","parsed","BJCP_2021_GUIDELINES.md"
"3","D","Czech Lager","Czech Dark Lager","1.044","1.060","1.013","1.017","18","34","17","35","4.4","5.8","** A rich, dark, malty Czech lager with a roast character that can vary from almost absent to quite prominent. Malty balance and an interesting and complex flavor profile, with variable levels of hopping that provides a range of possible interpretations. **","parsed","BJCP_2021_GUIDELINES.md"
"4","A","Pale Malty European Lager","Munich Helles","1.044","1.048","1.006","1.012","16","22","3","5","4.7","5.4","** A gold-colored German lager with a smooth, malty flavor and a soft, dry finish. Subtle spicy, floral, or herbal hops and restrained bitterness help keep the balance malty but not sweet, which helps make this beer a refreshing, everyday drink. **","parsed","BJCP_2021_GUIDELINES.md"
"4","C","Pale Malty European Lager","Helles Bock","1.064","1.072","1.011","1.018","23","35","6","9","6.3","7.4","** A relatively pale, strong, malty German lager with a nicely attenuated finish that enhances drinkability. The hop character is generally more apparent and the malt character less deeply rich than in other Bocks. **","parsed","BJCP_2021_GUIDELINES.md"
